Cell_Name,Area_um2,Leakage_Power_W,Input_Cap_pF,Rise_Delay_ns,Fall_Delay_ns,Avg_Delay_ns,Cell_Type,Drive_Strength,PDP,Energy_per_transition,Delay_per_Area,Power_per_Area,Normalized_Area,Normalized_Delay,Normalized_Power,Delay_Skew,Log_Area,Log_Delay,Log_Power,Area_x_Cap,Delay_x_Power,CellType_AND,CellType_AOI,CellType_BUF,CellType_CLKBUF,CellType_CLKGATE,CellType_CLKGATETST,CellType_DFF,CellType_DFFR,CellType_DFFRS,CellType_DFFS,CellType_DLH,CellType_DLL,CellType_FA,CellType_HA,CellType_INV,CellType_MUX,CellType_NAND,CellType_NOR,CellType_OAI,CellType_OR,CellType_SDFF,CellType_SDFFR,CellType_SDFFRS,CellType_SDFFS,CellType_TBUF,CellType_TINV,CellType_TLAT,CellType_XNOR,CellType_XOR
AOI21_X2,1.862,55.71672,3.136406,0.019366,0.006646,0.013006,AOI,2.0,0.7246516603200001,1.568203,0.0069849624060150375,29.923050483351236,7.0,3.1701886245169213,inf,0.012720000000000002,0.2699796766453241,-1.885856250328087,1.745985541925849,5.839987972,0.7246516603200001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI21_X4,3.458,111.433338,6.139254,0.01948,0.006689,0.0130845,AOI,4.0,1.4580495110610001,3.069627,0.0037838345864661654,32.2247941006362,13.0,3.189322855412245,inf,0.012791,0.5388249889379039,-1.8832428684684568,2.04701514006053,21.229540332000003,1.4580495110610001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI22_X1,1.33,32.611944,1.687512,0.012502,0.007714,0.010107999999999999,AOI,1.0,0.32964152995199997,0.843756,0.007599999999999999,24.52025864661654,5.0,2.4638064444577146,inf,0.004787999999999999,0.12385164096708617,-1.99533476675208,1.513376687898532,2.24439096,0.32964152995199997,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI22_X2,2.394,65.223838,3.147425,0.011949,0.007432,0.0096905,AOI,2.0,0.632051602139,1.5737125,0.004047827903091061,27.244710944026732,9.0,2.362041585874306,inf,0.004516999999999999,0.379124146070392,-2.0136538141113376,1.8144063506364476,7.534935450000001,0.632051602139,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI22_X4,4.522,130.447551,6.418618,0.011709,0.007256,0.009482500000000001,AOI,4.0,1.2369689023575001,3.209309,0.0020969703670942062,28.847313356921717,17.0,2.311341967705806,inf,0.004453,0.655330558009341,-2.023077148625126,2.1154359301424877,29.024990596000002,1.2369689023575001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI211_X1,1.33,34.565711,1.620338,0.041896,0.007642,0.024769000000000003,AOI,1.0,0.8561580957590001,0.810169,0.018623308270676694,25.98925639097744,5.0,6.037398280844197,inf,0.034254,0.12385164096708617,-1.6060915268517184,1.538645494538309,2.1550495400000003,0.8561580957590001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI211_X2,2.394,69.131362,3.11422,0.040701,0.007417,0.024059,AOI,2.0,1.663231438358,1.55711,0.010049707602339182,28.87692648287385,9.0,5.864337084211334,inf,0.033284,0.379124146070392,-1.6187224278484997,1.8396751132726759,7.45544268,1.663231438358,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI211_X4,2.926,126.001026,1.668945,0.088431,0.034256,0.061343499999999995,AOI,4.0,7.729343938430999,0.8344725,0.020964969241285027,43.062551606288444,11.0,14.952365514997211,inf,0.054174999999999994,0.4662743217892922,-1.2122314486449741,2.100374081501089,4.88333307,7.729343938430999,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI221_X1,1.596,41.741212,1.67753,0.029578,0.00745,0.018514,AOI,1.0,0.7727967989679999,0.838765,0.011600250626566415,26.153641604010023,6.0,4.5127535133251016,inf,0.022128000000000002,0.20303288701471095,-1.732499740606711,1.620565055109651,2.67733788,0.7727967989679999,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI221_X2,2.926,83.482383,3.504692,0.029026,0.007261,0.0181435,AOI,2.0,1.5146626159605,1.752346,0.006200786056049214,28.531231373889266,11.0,4.42244481846246,inf,0.021765,0.4662743217892922,-1.7412789309437444,1.9215948374822918,10.254728792,1.5146626159605,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI221_X4,3.458,131.584293,1.649091,0.070662,0.033314,0.051988000000000006,AOI,4.0,6.840804224484001,0.8245455,0.015034123770965878,38.05213794100636,13.0,12.671979564153908,inf,0.037348,0.5388249889379039,-1.2840968897345422,2.119204051355866,5.7025566780000005,6.840804224484001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
